frame_idx,detections,persons,fps_inst
559,12,11,29.371
560,11,10,28.716
561,11,9,26.637
562,10,9,39.487
563,11,10,37.855
564,11,10,38.163
565,12,11,33.803
566,12,11,32.450
567,12,11,26.670
568,12,11,29.126
569,12,11,29.781
570,12,11,30.555
571,12,11,31.949
572,12,11,33.355
573,12,11,38.247
574,12,11,31.209
575,11,10,33.594
576,11,10,32.942
577,11,10,33.671
578,11,10,31.907
579,11,10,31.868
580,12,11,33.055
581,11,10,28.414
582,11,9,32.790
583,11,9,30.674
584,11,9,37.401
585,11,9,40.275
586,12,11,38.024
587,12,10,39.993
588,12,11,38.400
589,10,9,33.158
590,9,8,32.664
591,9,8,26.859
592,10,9,30.732
593,10,9,31.711
594,10,9,31.256
595,10,9,33.052
596,10,9,34.704
597,9,8,33.548
598,11,10,32.805
599,10,9,33.686
600,12,10,31.079
601,11,10,27.090
602,11,10,38.570
603,11,10,40.016
604,11,10,36.924
605,11,10,28.402
606,13,11,32.063
607,11,10,28.064
608,11,10,30.640
609,11,10,32.091
610,11,10,32.481
611,12,11,31.337
612,12,11,32.086
613,12,11,28.257
614,12,11,29.661
615,13,11,33.166
616,13,11,29.489
617,13,11,32.450
618,12,10,29.905
619,12,10,35.393
620,11,10,32.418
621,12,10,33.716
622,13,11,33.273
623,12,11,26.411
624,11,10,28.366
625,10,9,30.854
626,9,8,27.792
627,9,8,30.319
628,11,10,32.124
629,12,10,30.698
630,11,9,30.679
631,12,10,27.783
632,11,9,32.134
633,12,10,32.840
634,10,8,32.551
635,11,9,28.482
636,11,9,28.146
637,12,10,28.800
638,12,10,30.732
639,13,11,31.034
640,12,10,28.645
641,11,10,31.611
642,10,9,32.293
643,10,9,34.827
644,11,9,34.691
645,10,9,33.435
646,12,10,33.195
647,11,9,33.368
648,11,9,32.368
649,12,9,30.912
650,13,10,31.532
651,14,10,28.328
652,12,9,27.917
653,12,9,28.208
654,12,9,34.907
655,14,10,35.130
656,14,10,34.424
657,12,10,31.817
658,11,10,31.547
659,12,10,31.824
660,11,10,31.070
661,11,10,33.820
662,11,9,32.209
663,10,9,32.656
664,11,10,32.356
665,10,9,33.803
666,10,9,34.693
667,10,9,29.186
668,10,9,31.739
669,12,9,32.858
670,12,9,29.770
671,13,10,34.491
672,13,10,31.658
673,10,9,29.101
674,11,10,28.647
675,13,10,29.152
676,13,10,34.836
677,13,10,39.569
678,12,10,35.123
679,13,11,28.425
680,12,10,31.771
681,13,10,34.217
682,13,11,34.292
683,13,11,30.646
684,14,11,29.048
685,12,9,27.470
686,13,10,27.128
687,14,11,36.223
688,14,12,39.669
689,13,12,43.867
690,15,12,40.084
691,12,11,33.737
692,11,10,30.567
693,11,10,29.427
694,11,10,33.078
695,11,10,32.397
696,11,10,31.749
697,11,10,30.505
698,11,10,30.212
699,11,10,31.934
700,12,10,33.212
701,12,10,33.270
702,13,11,29.149
703,14,12,27.807
704,13,11,26.985
